                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.80143,                0.34632,                0.93547,                0.96577,                0.98333,                0.98877,                0.74645,                0.93003,                 0.3191,                 0.9952,              0.0081982,              0.0081982,              0.0081982
                     93,                0.78758,                0.33916,                  0.931,                0.97111,                 0.9822,                0.98836,                0.74179,                0.93879,                0.31631,                0.98949,              0.0081784,              0.0081784,              0.0081784
                     94,                0.79376,                0.34075,                0.92969,                0.97075,                0.98078,                0.98752,                0.74328,                 0.9332,                0.31545,                0.99335,              0.0081586,              0.0081586,              0.0081586
                     95,                0.79237,                0.34314,                0.92814,                0.97136,                 0.9804,                0.98829,                0.74331,                0.93096,                0.31364,                0.98821,              0.0081388,              0.0081388,              0.0081388
                     96,                0.79101,                0.34164,                0.92935,                0.97024,                0.98276,                0.98808,                0.74171,                0.93784,                 0.3191,                0.99192,               0.008119,               0.008119,               0.008119
                     97,                0.79206,                0.34105,                0.93056,                0.97404,                0.98295,                0.98883,                0.74149,                0.93087,                0.31615,                0.99567,              0.0080992,              0.0080992,              0.0080992
                     98,                 0.7864,                0.33945,                0.93089,                0.96144,                0.98629,                0.98852,                 0.7358,                0.94692,                0.32278,                 1.0049,              0.0080794,              0.0080794,              0.0080794
                     99,                0.78562,                0.33648,                 0.9314,                0.97069,                0.97746,                0.98611,                0.74328,                0.94077,                 0.3202,                0.99893,              0.0080596,              0.0080596,              0.0080596
                    100,                0.78041,                0.33559,                 0.9309,                0.96658,                0.97875,                0.98616,                0.74154,                0.94344,                0.32816,                 1.0009,              0.0080398,              0.0080398,              0.0080398
                    101,                0.78044,                0.33614,                0.92952,                0.97255,                0.97768,                0.98734,                0.73894,                0.94876,                0.32439,                0.99977,                0.00802,                0.00802,                0.00802
                    102,                0.77291,                0.33349,                0.92559,                0.96943,                0.98462,                0.98761,                0.73877,                 0.9496,                 0.3208,                 1.0024,              0.0080002,              0.0080002,              0.0080002
                    103,                0.77769,                0.33397,                0.92734,                 0.9714,                0.98582,                0.98927,                0.74065,                0.94805,                0.31513,                 0.9951,              0.0079804,              0.0079804,              0.0079804
                    104,                0.77087,                0.33457,                0.91891,                0.97248,                 0.9818,                0.98753,                0.73874,                   0.94,                0.31399,                0.98823,              0.0079606,              0.0079606,              0.0079606
                    105,                0.76826,                0.33123,                0.92307,                 0.9704,                0.98057,                0.98764,                0.73846,                 0.9493,                0.31958,                 1.0003,              0.0079408,              0.0079408,              0.0079408
